[2024-03-12 15:10:21:0442][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:22:0445][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:23:0448][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:24:0452][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:25:0454][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:26:0458][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:27:0461][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:28:0463][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:29:0464][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:30:0467][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:31:0468][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:32:0470][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:33:0473][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:34:0474][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:35:0477][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:36:0479][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:37:0480][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:38:0484][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:39:0485][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:40:0487][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:41:0491][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:42:0493][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
[2024-03-12 15:10:43:0497][Warning] [ThreadID:25424][bool __thiscall CIUSocket::Recv(void)]Recv data error, disconnect server:192.168.88.146, port:9527.
